_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2366,167075353,17210517,10,2017-10-18T10:45:00,"1200 Block Liverpool St Pittsburgh, PA 15233",N,Manchester,1,SIMPLE ASSAULT,2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,2107,6,1,-80.02283278,40.4557305
258,165533643,17201367,99,2017-10-18T11:27:00,"200 Block Linnview Ave Pittsburgh, PA 15210",N,Carrick,3,AIDED CASE,9497 Aided Case,2902,4,4,-79.98638858,40.40322987
138,165484956,17201413,0,2017-10-18T11:30:00,"2200 Block Yale Dr Pittsburgh, PA 15210",N,Overbrook,3,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,3204,4,4,-79.99181887,40.3895099
49,165487628,17201381,13,2017-10-18T11:49:00,"2900 Block Mullins St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,RECEIVING STOLEN PROPERTY,"3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 903 Criminal Conspiracy. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6110.1 Possesion of Firearm by Minor",2715,1,1,-80.03189643,40.47040142
536,165663316,17201485,17,2017-10-18T11:54:00,Zone 4,N,,4,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
278,165473615,17201387,0,2017-10-18T11:55:00,"Penn Ave & East End Ave Pittsburgh, PA 15221",N,Point Breeze North,4,99,2709(a)(2) Harassment by Following Person in Public Place(s),1405,9,3,-79.89396419,40.44674373
35,165476746,17201394,27,2017-10-18T12:10:00,"6800 Block 5th Ave Pittsburgh, PA 15208",N,Point Breeze North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1405,9,2,-79.91133561,40.45490611
63,165487802,17201400,6,2017-10-18T12:20:00,"5400 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,709,8,2,-79.9382756,40.45587632
215,165487174,17201398,18,2017-10-18T12:20:00,"Fort Duquesne Blvd & Stanwix St Pittsburgh, PA 15222",Y,Central Business District,2,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount,201,6,6,-80.0046759,40.44345815
216,165490926,17201405,0,2017-10-18T12:25:00,"Fort Duquesne Blvd & Stanwix St Pittsburgh, PA 15222",Y,Central Business District,2,99,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,201,6,6,-80.0046759,40.44345815
12,165481662,17201403,99,2017-10-18T12:30:00,"2500 Block West Liberty Ave Pittsburgh, PA 15226",Y,Beechview,6,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1920,4,5,-80.02549344,40.39918465
213,-2752024715,17201401,0,2017-10-18T12:30:00,"5200 Block Kent Way Pittsburgh, PA 15201",N,Upper Lawrenceville,2,99,9997 Overdose Death,1011,7,2,-79.9525423,40.47910547
235,165498975,17201441,99,2017-10-18T12:30:00,"5700 Block Wellesley Ave Pittsburgh, PA 15206",N,Highland Park,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1102,7,2,-79.92331347,40.47345808
2622,166237064,17210638,6,2017-10-18T13:00:00,"Friendship Ave & Stamair Way Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,7,2,-79.93096923,40.4601731
211,165482437,17201425,0,2017-10-18T13:02:00,"400 Block Mathews Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9998 Overdose Other,3001,3,4,-79.99509084,40.41372268
139,165485884,17201447,6,2017-10-18T13:28:00,"1000 Block Arlington Ave Pittsburgh, PA 15203",N,Allentown,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.,1803,3,4,-79.98896723,40.42439028
212,165484905,17201452,6,2017-10-18T13:30:00,"300 Block Waterfront Dr Pittsburgh, PA 15222",N,Troy Hill,1,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2406,1,6,-79.97624783,40.46685349
214,165486376,17201493,0,2017-10-18T13:30:00,"600 Block Grandview Ave Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): Caller ID Spoofing,1903,2,5,-80.01313912,40.43564924
43,165528926,17201465,6,2017-10-18T13:40:00,"3700 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",2708,1,1,-80.03519475,40.48324656
16,165498949,17201456,14,2017-10-18T13:44:00,"Alexander St & S Main St Pittsburgh, PA 15220",N,West End,6,CRIM MISCHIEF,3304 Criminal Mischief.,2019,2,5,-80.03405351,40.44120281
141,165487120,17201459,11,2017-10-18T13:46:00,"5600 Block Baum Blvd Pittsburgh, PA 15232",N,Friendship,5,THEFT BY DECEPTION,3922 Theft by Deception.,807,7,2,-79.93532738,40.45770893
140,165486560,17201498,0,2017-10-18T14:00:00,"2400 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,99,9999 9999 - (Misc. Incident): Scam phone call,2615,6,1,-80.02054323,40.46528649
256,165527595,17201481,5,2017-10-18T14:00:00,"7600 Block Bennett St Pittsburgh, PA 15221",N,Homewood South,5,BURGLARY,3502 Burglary.,1304,9,2,-79.8903182,40.45483769
217,165491637,17201496,0,2017-10-18T14:30:00,"100 Block Maywood St Pittsburgh, PA 15214",N,Perry South,1,99,9093 Indirect Criminal Contempt,2614,6,1,-80.0106134,40.46738174
15,165494836,17201497,5,2017-10-18T14:36:00,"400 Block Fairywood St Pittsburgh, PA 15205",N,Fairywood,6,BURGLARY,3502 Burglary.,2808,2,5,-80.07954524,40.44723267
9,165605360,17202223,27,2017-10-18T15:00:00,"100 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1919,4,4,-80.02639282,40.39801614
107,165490259,17201522,11,2017-10-18T15:00:00,"400 Block mt pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,IDENTITY THEFT,4120 Identity Theft,2609,1,1,-80.00190144,40.47982925
290,-2914011856,17202384,5,2017-10-18T15:00:00,"1800 Block Broadway Ave Pittsburgh, PA 15216",N,Beechview,6,BURGLARY,3502 Burglary.,1920,4,5,-80.02576677,40.40779483
14,165490003,17201430,99,2017-10-18T15:05:00,"1400 Block Poplar St Pittsburgh, PA 15205",N,Westwood,6,AIDED CASE,9497 Aided Case,2811,2,5,-80.05663829,40.4284089
102,-2269001620,17201551,99,2017-10-18T15:09:00,"200 Block Fort Pitt Blvd Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-80.00266636,40.43746685
44,165550829,17201529,4,2017-10-18T15:15:00,"2800 Block N Charles St Pittsburgh, PA 15214",Y,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,2614,6,1,-80.01374287,40.46984602
108,165491552,17201529,4,2017-10-18T15:15:00,"Ohio River Blvd Ramp & Western Ave Pittsburgh, PA 15233",Y,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2706 Terroristic Threats. / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,2614,,,0,0
2356,165830042,17201529,4,2017-10-18T15:15:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 903 Criminal Conspiracy. / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,2614,6,6,-79.99630099,40.43469659
229,165499235,17201603,99,2017-10-18T15:30:00,"100 Block N Homewood Ave Pittsburgh, PA 15208",N,Point Breeze North,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1405,9,3,-79.90166996,40.44913449
17,165500017,17201548,3,2017-10-18T15:40:00,"500 Block East Ohio St Pittsburgh, PA 15212",N,East Allegheny,1,ROBBERY,3701 Robbery.,2304,1,1,-80.00057528,40.45353917
65,165514194,17201762,2,2017-10-18T15:40:00,Zone 6,Y,,6,RAPE,3121 Rape. / 2702 Aggravated Assault. / 2701 Simple Assault. / 3123 Involuntary Deviate Sexual Intercourse. / 3126(a)(7) Indecent assault of person under 13 / 6301 Corruption of Minors. / 6318 Unlawful Contact/Communication w/ Minor / 2902 Unlawful Restraint. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck / 3128 Spousal Sexual Assault. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,,,,,
322,166804672,17201762,2,2017-10-18T15:40:00,Zone 6,Y,,6,RAPE,3121 Rape. / 2702 Aggravated Assault. / 2701 Simple Assault. / 3123 Involuntary Deviate Sexual Intercourse. / 3126(a)(7) Indecent assault of person under 13 / 6301 Corruption of Minors. / 6318 Unlawful Contact/Communication w/ Minor / 2902 Unlawful Restraint. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck / 3128 Spousal Sexual Assault. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,,,,,
230,165499365,17201617,10,2017-10-18T15:45:00,"200 Block 7th Ave Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,201,6,6,-80.00031612,40.44318844
41,165511259,17201552,14,2017-10-18T16:00:00,"800 Block Eureka St Pittsburgh, PA 15210",N,Allentown,3,CRIM MISCHIEF,3304 Criminal Mischief.,1803,3,4,-79.99369305,40.42362201
2348,166272545,17209951,10,2017-10-18T16:00:00,"200 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,SIMPLE ASSAULT,2701 Simple Assault.,3001,3,4,-79.99076387,40.41800867
40,165510149,17201578,0,2017-10-18T16:02:00,"Hamilton Ave & Hale St Pittsburgh, PA 15221",N,Homewood South,5,99,3742 Accidents Involving Death or Personal Injury,1304,9,2,-79.88753684,40.45235025
232,165500399,17201563,0,2017-10-18T16:08:00,"5400 Block Aylesboro Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,99,9999 9999 - (Misc. Incident): ,1401,8,3,-79.93344562,40.43826104
37,165499045,17201564,24,2017-10-18T16:11:00,"Knox Ave & Rentz Way Pittsburgh, PA 15210",Y,Knoxville,3,DISORDERLY CONDUCT,5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3711 Unauthorized Persons and Devices Hanging on Vehicles,3001,3,4,-79.99063903,40.41696154
36,165498824,17201565,99,2017-10-18T16:12:00,"400 Block Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,AIDED CASE,9497 Aided Case,406,3,3,-79.95395185,40.43805592
119,165497219,17201567,99,2017-10-18T16:16:00,"90 Block Amanda Ave Pittsburgh, PA 15210",Y,Knoxville,3,99,9501 Bench Warrant / 601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,3001,3,4,-79.98814008,40.41511574
233,165504352,17201611,18,2017-10-18T16:25:00,"500 Block Larimer Ave Turtle Creek, PA 15145",Y,Outside City,OSC,STOLEN PROPERTY - OTHER,"13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6110.2 Possesion of Firearm with Altered Mfg. Number / 7512 Criminal Use of Communication",5599,,,-79.82564392,40.41037265
64,165499151,17201572,29,2017-10-18T16:30:00,"1400 Block N Franklin St Pittsburgh, PA 15233",N,Manchester,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2107,6,1,-80.02700494,40.45592118
78,165539263,17202021,10,2017-10-18T16:30:00,"700 Block Esther St Pittsburgh, PA 15227",N,Overbrook,3,HARRASSMENT,2709 Harassment (Non-Specific),3204,4,4,-79.99307519,40.38267718
103,165506353,17201630,10,2017-10-18T17:00:00,"500 Block Brinwood Ave Pittsburgh, PA 15227",Y,Carrick,3,HARRASSMENT,2709 Harassment (Non-Specific),2904,4,4,-79.97806526,40.39287344
231,165500238,17201620,99,2017-10-18T17:00:00,"100 Block Sampsonia Way Pittsburgh, PA 15212",N,Central North Side,1,FOUND PROPERTY,9489 Found Property,2206,6,1,-80.00850354,40.45760657
2503,165807150,17205668,6,2017-10-18T17:00:00,"600 Block Wood St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-79.99942351,40.44209205
166,165554619,17202131,6,2017-10-18T17:10:00,"1500 Block Bedford Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT FROM AUTO,3934 Theft from Vehicle,305,6,6,-79.9881576,40.44398928
18,165504320,17201600,18,2017-10-18T17:15:00,"W Jefferson St & Arch St Pittsburgh, PA 15212",Y,Allegheny Center,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2204,6,1,-80.00995874,40.45918982
259,165534875,17202013,6,2017-10-18T17:30:00,"English Ln Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1408,5,3,-79.91478488,40.42956843
154,165507327,17201631,4,2017-10-18T17:42:00,"8000 Block Frankstown Ave Pittsburgh, PA 15221",Y,Homewood North,5,AGG-ASSAULT,2702 Aggravated Assault.,1301,9,2,-79.88455952,40.45515834
162,165601954,17202196,6,2017-10-18T17:45:00,"2500 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT FROM AUTO,3934 Theft from Vehicle,2904,4,4,-79.98114783,40.38668454
2369,167087436,17209952,10,2017-10-18T17:53:00,"300 Block Lincoln Ave Pittsburgh, PA 15206",N,Larimer,5,SIMPLE ASSAULT,2701 Simple Assault.,1208,9,2,-79.91252749,40.46049432
156,165510744,17201681,0,2017-10-18T18:00:00,"700 Block Loretta St Pittsburgh, PA 15217",N,Greenfield,4,99,9999 9999 - (Misc. Incident): ,1517,5,3,-79.93334063,40.42101131
234,165505320,17201666,6,2017-10-18T18:00:00,"200 Block Panther Hollow Rd Pittsburgh, PA 15213",N,Squirrel Hill South,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1413,5,3,-79.94443581,40.43482959
238,165506465,17201643,0,2017-10-18T18:05:00,"1800 Block Broadway Ave Pittsburgh, PA 15216",Y,Beechview,6,99,3503(b.1) Criminal Trespass - Simple Trespasser,1916,4,5,-80.02576677,40.40779483
239,165507061,17201657,99,2017-10-18T18:24:00,"200 Block Elmore St Pittsburgh, PA 15219",N,Terrace Village,2,AIDED CASE,9497 Aided Case,511,6,3,-79.97534609,40.44181467
236,165505450,17201670,18,2017-10-18T18:25:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,1803,3,4,-79.99357756,40.42153188
120,165508585,17201673,18,2017-10-18T18:29:00,"3400 Block Allendale St Pittsburgh, PA 15204",Y,Sheraden,6,STOLEN PROPERTY - OTHER,"13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6110.2 Possesion of Firearm with Altered Mfg. Number",2022,2,5,-80.06340429,40.45785394
174,165609853,17202821,6,2017-10-18T18:30:00,"600 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-79.99473712,40.44135498
241,165508325,17201616,10,2017-10-18T18:36:00,"1700 Block Seaton St Pittsburgh, PA 15226",Y,Brookline,6,HARRASSMENT,2709(a) Harassment.,1918,4,4,-80.00913044,40.38607618
237,165505693,17201672,14,2017-10-18T18:41:00,"California Ave & Hybla St Pittsburgh, PA 15212",N,Brighton Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2703,1,1,-80.03902542,40.47447754
133,165561483,17202204,27,2017-10-18T18:45:00,"5800 Block Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.92270467,40.43471505
155,165510693,17201704,9,2017-10-18T18:47:00,"Mountain Ave & Fisher St Pittsburgh, PA 15210",Y,St. Clair,3,TAMPER WITH/FAB PHYS EVIDENCE,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 4903 Securing Loads in Vehicles / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4524 Windshield Obstructions and Wipers.,1606,3,4,-79.9772403,40.41151333
38,-3129000064,17201679,18,2017-10-18T18:56:00,"2600 Block Banksville Rd Pittsburgh, PA 15216",Y,Banksville,6,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,2023,2,5,-80.03613737,40.40615298
240,165507096,17201680,99,2017-10-18T18:56:00,"200 Block S Highland Ave Pittsburgh, PA 15232",Y,Shadyside,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,705,8,2,-79.92543474,40.45853284
110,165516507,17201822,5,2017-10-18T19:00:00,"800 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,BURGLARY,3502 Burglary.,201,6,6,-79.99909277,40.44329071
191,165621144,17202879,11,2017-10-18T19:00:00,"5400 Block Wellesley Ave Pittsburgh, PA 15206",N,Highland Park,5,CREDIT CARDS,4120 Identity Theft / 4106 Access Device Fraud,1102,7,2,-79.92992657,40.47573095
245,165512033,17201745,5,2017-10-18T19:20:00,"500 Block Griffin St Pittsburgh, PA 15211",N,Mount Washington,3,BURGLARY,3502 Burglary.,1915,2,5,-80.01084832,40.42318871
39,165508998,17201711,6,2017-10-18T19:50:00,"1500 Block Bedford Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,305,6,6,-79.9881576,40.44398928
105,165513836,17201796,6,2017-10-18T19:59:00,"5900 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,8,2,-79.92740885,40.4591906
262,165548130,17202078,6,2017-10-18T20:00:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1208,9,2,-79.91742251,40.45756157
2846,165869239,17205603,17,2017-10-18T20:00:00,Zone 3,N,,3,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
244,165511984,17201730,0,2017-10-18T20:30:00,"700 Block Anaheim St Pittsburgh, PA 15219",Y,Upper Hill,2,99,9093 Indirect Criminal Contempt,506,6,3,-79.96313095,40.45256383
70,-3139000139,17201793,0,2017-10-18T20:54:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9999 9999 - (Misc. Incident): ,2507,6,1,-80.01651556,40.45651505
246,165513198,17201759,0,2017-10-18T20:58:00,"4600 Block Stanton Ave Pittsburgh, PA 15201",N,Stanton Heights,5,99,9998 Overdose Other,1018,9,2,-79.93770426,40.48111551
104,165513240,17201714,99,2017-10-18T21:00:00,"2600 Block Centre Ave Pittsburgh, PA 15219",Y,Middle Hill,2,AIDED CASE,9497 Aided Case,501,6,3,-79.96841687,40.446533
